         17512671 function calls (17373053 primitive calls) in 103.279 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20312    0.030    0.000    0.142    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1934(any)
    90827    0.107    0.000    0.140    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:167(_to_native_byte_order)
      196    0.001    0.000    0.140    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:267(draw)
    25438    0.040    0.000    0.138    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/fft/helper.py:317(_check_size)
     1800    0.014    0.000    0.128    0.000 /Users/hjfreyer/src/RJMCMC/matlab.py:61(Taper)
   281373    0.081    0.000    0.127    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:123(_realType)
      968    0.004    0.000    0.125    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:378(process)
       10    0.000    0.000    0.122    0.012 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1082(get_tightbbox)
    48498    0.032    0.000    0.122    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:163(reshape)
      289    0.002    0.000    0.122    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/text.py:898(get_window_extent)
      675    0.003    0.000    0.119    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:208(__call__)
      491    0.010    0.000    0.117    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/text.py:284(_get_layout)
    52793    0.030    0.000    0.115    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:50(_wrapfunc)
       62    0.000    0.000    0.112    0.002 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1336(get_major_ticks)
       32    0.000    0.000    0.109    0.003 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/spines.py:179(cla)
     1152    0.003    0.000    0.105    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/path.py:481(contains_point)
580708/580385    0.100    0.000    0.103    0.000 {built-in method builtins.issubclass}
      308    0.007    0.000    0.102    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/text.py:700(draw)
   372619    0.099    0.000    0.099    0.000 {built-in method builtins.min}
    90827    0.059    0.000    0.097    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:222(_assertNoEmpty2d)
        8    0.000    0.000    0.094    0.012 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:608(_init_axis)
       42    0.001    0.000    0.093    0.002 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1064(_get_tick_bboxes)
    20315    0.015    0.000    0.093    0.000 {method 'any' of 'numpy.ndarray' objects}
      120    0.000    0.000    0.093    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/spectrum/mtm.py:417(_autocov)
     1920    0.014    0.000    0.093    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/fft/fftpack.py:198(ifft)
      120    0.007    0.000    0.092    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/spectrum/mtm.py:433(_crosscov)
  481/480    0.030    0.000    0.089    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/linalg/basic.py:1049(lstsq)
      643    0.005    0.000    0.089    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:2883(mouse_move)
      480    0.002    0.000    0.088    0.000 /Users/hjfreyer/src/RJMCMC/matlab.py:25(filtfilt)
      230    0.006    0.000    0.088    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:737(draw)
   243862    0.087    0.000    0.087    0.000 {built-in method builtins.max}
      480    0.004    0.000    0.087    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/signal/filter_design.py:1004(zpk2tf)
    10803    0.012    0.000    0.087    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:1902(__init__)
      480    0.008    0.000    0.086    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/signal/signaltools.py:2915(filtfilt)
      120    0.009    0.000    0.085    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/spectrum/mtm.py:514(_fftconvolve)
    44850    0.053    0.000    0.085    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
221393/220943    0.062    0.000    0.084    0.000 {built-in method builtins.isinstance}
      308    0.001    0.000    0.083    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:214(get_text_width_height_descent)
    20315    0.007    0.000    0.078    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/_methods.py:37(_any)
      960    0.018    0.000    0.078    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/polynomial.py:32(poly)
     6186    0.009    0.000    0.077    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:1830(frozen)
      538    0.077    0.000    0.077    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.000    0.000    0.075    0.037 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/image.py:542(draw)
        2    0.000    0.000    0.074    0.037 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/image.py:784(make_image)
        2    0.046    0.023    0.074    0.037 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/image.py:272(_make_image)
    25438    0.029    0.000    0.072    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/fft/helper.py:318(<listcomp>)
2304/1152    0.006    0.000    0.070    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2399(frozen)
